Category,Sl.No.,Ministry/Department,Scheme,Actuals 2021-2022 Revenue,Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Total
Demand No. 76,540,Ministry of Petroleum and Natural Gas,Scheme for promotion of flagging of merchant ships in India,0,0,0,0,290.44
Demand No. 77,541,Ministry of Planning,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),341.96,0,341.96,155.31,155
Demand No. 77,542,Ministry of Planning,Ongoing Programme and Schemes,584.39,0,584.39,6.75,4
Demand No. 77,543,Ministry of Planning,Official Development Assistance for Sustainable Development Goals (EAP Component),0,0,0,0.01,433
Demand No. 77,544,Ministry of Planning,State Support Mission,0,0,0,0,40
Demand No. 78,545,"Ministry of Ports, Shipping and Waterways",Research and Development (Ports),1,0,1,1,1.03
Demand No. 78,546,"Ministry of Ports, Shipping and Waterways",Sagarmala,355.56,100,455.56,412.79,450
Demand No. 78,547,"Ministry of Ports, Shipping and Waterways","Assistance to Ship Building, Research and Development",104.91,0,104.91,112,112
Demand No. 78,548,"Ministry of Ports, Shipping and Waterways",Grants to Inland Water Transport Authority of India,4.14,0,4.14,20,15
Demand No. 78,549,"Ministry of Ports, Shipping and Waterways",IWAI Projects,76.5,0,76.5,76.5,0
Demand No. 78,550,"Ministry of Ports, Shipping and Waterways",Actual Recoveries,-53.56,0,-53.56,0,0
Demand No. 79,551,Ministry of Power,Energy Conservation Schemes,40,0,40,60,30.9
Demand No. 79,552,Ministry of Power,Deen Dayal Upadhyaya Gram Jyoti Yojna,4655.23,0,4655.23,0,0
Demand No. 79,553,Ministry of Power,Integrated Power Development Scheme,5670.15,2798.49,8468.64,0,0
Demand No. 79,554,Ministry of Power,Strengthening of Power Systems,3277.25,18.16,3295.41,2975.73,2902.62
Demand No. 79,555,Ministry of Power,Power System Development Fund,771.71,0,771.71,604.48,1000
Demand No. 79,556,Ministry of Power,Reform Linked Distribution Scheme,814,0,814,7565.59,12071.6
Demand No. 79,557,Ministry of Power,Scheme for Promoting Energy Efficiency activities in different sectors of Indian Economy,0,0,0,0,103.8
Demand No. 85,558,Ministry of Railways,Transfer to Central Road and Infrastructure Fund,0,59700,59700,52700,12049.7
Demand No. 85,559,Ministry of Railways,Transfer to National Investment Fund,0,36800,36800,50000,29434.99
Demand No. 85,560,Ministry of Railways,New Lines,0,20783.9,20783.9,25243,31850
Demand No. 85,561,Ministry of Railways,Gauge Conversion,0,2343.47,2343.47,2850,4600
Demand No. 85,562,Ministry of Railways,Doubling,0,8681.95,8681.95,12108.08,30749.4
Demand No. 85,563,Ministry of Railways,Computerisation,0,317.83,317.83,470,425
Demand No. 85,564,Ministry of Railways,Traffic Facilities - Yard Remodelling and Others,0,1830.47,1830.47,2045,6715
Demand No. 85,565,Ministry of Railways,Railway Research,0,30.82,30.82,51.05,61.5
Demand No. 85,566,Ministry of Railways,Rolling Stock,0,13492.54,13492.54,7977.84,37581
Demand No. 85,567,Ministry of Railways,Leased assets - Payment of Capital Component,0,14580.8,14580.8,22188,22228.57
Demand No. 85,568,Ministry of Railways,Road Safety Works - Level Crossings,0,450.36,450.36,1000,700
Demand No. 85,569,Ministry of Railways,Road Safety Works - Road Over/Under Bridges,0,4225.24,4225.24,6500,7400
Demand No. 85,570,Ministry of Railways,Track Renewals,0,16557.88,16557.88,13335.47,17296.84
Demand No. 85,571,Ministry of Railways,"Bridge Works, Turnnel Works and Approaches",0,1302.18,1302.18,940,1255
Demand No. 85,572,Ministry of Railways,Signalling and Telecom,0,2145.07,2145.07,2500,4198.22
Demand No. 85,573,Ministry of Railways,Electrification Projects,0,0.37,0.37,0,8070
Demand No. 85,574,Ministry of Railways,Other Electrical Works,0,628.21,628.21,650,1650
Demand No. 85,575,Ministry of Railways,Machinery and Plant,0,898.18,898.18,600,740
Demand No. 85,576,Ministry of Railways,Workshop Including Production Units,0,2669.86,2669.86,2045,4600.5
Demand No. 85,577,Ministry of Railways,Staff Welfare,0,473.35,473.35,495,628.82
Demand No. 85,578,Ministry of Railways,Customer Amenities,0,1995.75,1995.75,2700,13355
Demand No. 85,579,Ministry of Railways,Investment in PSU/JV/SPV etc.,0,25750.57,25750.57,38686.59,34353.55
Demand No. 85,580,Ministry of Railways,Other Specified Works,0,543.02,543.02,740,1300
Demand No. 85,581,Ministry of Railways,Training/Human Resource Development,0,76.13,76.13,335,305
Demand No. 85,582,Ministry of Railways,Stores Suspense,0,17874.22,17874.22,20880.32,29512.87
Demand No. 85,583,Ministry of Railways,Manufacturing Suspense,0,37550.34,37550.34,47065.22,55855.18
Demand No. 85,584,Ministry of Railways,Miscellaneous Advances,0,1869.26,1869.26,1082.13,1304.93
Demand No. 85,585,Ministry of Railways,Metropolitan Transportation Projects,0,2524.31,2524.31,2000,2450
Demand No. 85,586,Ministry of Railways,Transfer to Rashtirya Rail Sanraksha Kosh,0,25000,25000,12000,10000
Demand No. 85,587,Ministry of Railways,Transfer to Railway Safety Fund,0,10600,10600,0,45000
Demand No. 85,588,Ministry of Railways,Sovereign Green Fund,0,0,0,0,12479
Demand No. 85,589,Ministry of Railways,Amount met from,0,-194425.54,-194425.54,-192087.7,-188150.07
Demand No. 86,590,Ministry of Road Transport and Highways,National Highways Authority of India,0,57080.64,57080.64,134015,162207
Demand No. 86,591,Ministry of Road Transport and Highways,Road Works,9949.89,56287.09,66236.98,64567.86,107713.38
Demand No. 86,592,Ministry of Road Transport and Highways,Works Financed from  PBFF,0,0,0,5.62,0
Demand No. 86,593,Ministry of Road Transport and Highways,"Research, Training, Studies and Other Road Safety Schemes",158.41,5,163.41,356,330
Demand No. 86,594,Ministry of Road Transport and Highways,Actual Recoveries,0,-61.13,-61.13,0,0
Demand No. 87,595,Department of Rural Development,Management Support to Rural Development Programs and Strengthening of District Planning Process,99.35,0,99.35,212.19,113.49
Demand No. 87,596,Department of Rural Development,Socio-Economic and Caste Census Survey,0,0,0,0.01,0
Demand No. 87,597,Department of Rural Development,Grants to National Institute of Rural Development,105.48,0,105.48,0,0
Demand No. 88,598,Department of Land Resources,Land Records Modernization Programme,250.02,0,250.02,239.25,195.75
Demand No. 89,599,Department of Science and Technology,Science and Technology Institutional and Human Capacity Building,914.79,0,914.79,1128,1068.4
Demand No. 89,600,Department of Science and Technology,Research and Development,451.55,0,451.55,604.03,592
Demand No. 89,601,Department of Science and Technology,"Innovation, Technology Development and Deployment",680.97,0,680.97,812.52,536.6
Demand No. 89,602,Department of Science and Technology,National Mission on Interdisciplinary Cyber Physical Systems,0,0,0,350,580
Demand No. 90,603,Department of Biotechnology,Biotechnology Research and Development,1424.66,0,1424.66,1315,1345
Demand No. 90,604,Department of Biotechnology,Industrial and Entrepreneurship Development,706.43,0,706.43,365,300
Demand No. 91,605,Department of Scientific and Industrial Research,Industrial Research and Development,18.53,0.6,19.13,29,23.3
Demand No. 91,606,Department of Scientific and Industrial Research,Assistance to PSEs for Other Scientific Research Schemes,11,0,11,10,21.73
Demand No. 92,607,Ministry of Skill Development and Entrepreneurship,Skill India Programme,0,0,0,0,2278.37
Demand No. 93,608,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for SCs,271.2,0,271.2,364,371
Demand No. 93,609,Department of Social Justice and Empowerment,Scheme of Residential Education for Students in High School in Targeted Area (SRESHTA) for SCs,38.03,0,38.03,89,104.65
Demand No. 93,610,Department of Social Justice and Empowerment,Vanchit Ikai Samooh aur Vargon ki Arthik Sahayata (VISVAS) Yojana,0,0,0,80,0.02
Demand No. 93,611,Department of Social Justice and Empowerment,Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM DAKSH) Yojana,68.23,0,68.23,84,92.47
Demand No. 93,612,Department of Social Justice and Empowerment,Venture Capital Fund for SCs and OBCs,0,90,90,110,92
Demand No. 93,613,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for OBCs and EBCs,82.25,0,82.25,80,86
Demand No. 93,614,Department of Social Justice and Empowerment,Scheme for Economic Empowerment of DNT/NT/SNTs (SEED),0.21,0,0.21,28,40.4
Demand No. 93,615,Department of Social Justice and Empowerment,Support for Marginalized Individuals for Livelihood & Enterprise (SMILE),1.96,0,1.96,45,72.91
Demand No. 93,616,Department of Social Justice and Empowerment,Self Employment Scheme for Rehabilitation of Manual Scavengers,39,0,39,70,0
Demand No. 93,617,Department of Social Justice and Empowerment,"Information, Monitoring, Evaluation and Social Audit",17.82,0,17.82,19.5,20
Demand No. 93,618,Department of Social Justice and Empowerment,National Action for Mechanised Sanitation Ecosystem (NAMASTE),0,0,0,0,97.41
Demand No. 93,619,Department of Social Justice and Empowerment,Development Action Plan for SCs (DAPSC),0,0,0,0,0
Demand No. 94,620,Department of Empowerment of Persons with Disabilities,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,198.7,0,198.7,235,245
Demand No. 94,621,Department of Empowerment of Persons with Disabilities,Deendayal Disabled Rehabilitation Scheme,100.89,0,100.89,125,130
Demand No. 94,622,Department of Empowerment of Persons with Disabilities,Support of National Trust,28.14,0,28.14,35,0
Demand No. 94,623,Department of Empowerment of Persons with Disabilities,Scheme for implementation of Persons with Disability Act,108.44,0,108.44,240.39,150
Demand No. 94,624,Department of Empowerment of Persons with Disabilities,Scholarship for Students with Disabilidties,120.32,0,120.32,105,155
Demand No. 95,625,Department of Space,Space Technology,3517.43,5356.2,8873.63,10534.5,9440.66
Demand No. 95,626,Department of Space,Space Applications,973.8,229.82,1203.62,1482.8,1558.95
Demand No. 95,627,Department of Space,Space Sciences,78.7,111.66,190.36,206.11,138.8
Demand No. 95,628,Department of Space,INSAT Satellite Systems,39.33,305.64,344.97,418.59,531
Demand No. 96,629,Ministry of Statistics and Programme Implementation,Member of Parliament Local Area Development Scheme (MPLAD),1732.12,0,1732.12,3965,3958.5
Demand No. 96,630,Ministry of Statistics and Programme Implementation,Capacity Development (CD),233.2,8.51,241.71,562.1,600
Demand No. 96,631,Ministry of Statistics and Programme Implementation,National programme for improving Quality of Statistics in India,0,0,0,0.01,0
Demand No. 97,632,Ministry of Steel,Scheme for Promotion of Research and Development in Iron and Steel sector,4.81,0,4.81,4.49,10
Demand No. 97,633,Ministry of Steel,Flagging of Merchant Ships in India,1.32,0,1.32,0,14
Demand No. 98,634,Ministry of Textiles,Amended Technology Upgradation Fund Scheme(ATUFS),625.31,0,625.31,650,900
Demand No. 98,635,Ministry of Textiles,Procurement of Cotton by Cotton Corporation under Price Support Scheme,8331.96,0,8331.96,9243.09,0.01
Demand No. 98,636,Ministry of Textiles,National Handloom Development Programme,167.4,19.88,187.28,200,200
Demand No. 98,637,Ministry of Textiles,Handloom Weaver Comprehensive Welfare Scheme (HWCWS),0.49,0,0.49,0,0
Demand No. 98,638,Ministry of Textiles,Yarn Supply Scheme,89.53,0,89.53,0,0
Demand No. 98,639,Ministry of Textiles,Trade Facilitation Centre and Crafts Museum,0.03,0,0.03,0,0
Demand No. 98,640,Ministry of Textiles,Handloom Cluster Development Program - Handloom Mega Cluster,4.82,0,4.82,0,0
Demand No. 98,641,Ministry of Textiles,Weavers Service Centre,47.57,0,47.57,0,0
Demand No. 98,642,Ministry of Textiles,Other Handloom Schemes,31.21,0,31.21,0,0
Demand No. 98,643,Ministry of Textiles,National Handicrafts Development Programme (NHDP),0,0,0,200,238.33
Demand No. 98,644,Ministry of Textiles,Training and Extension,13.39,0,13.39,0,0
Demand No. 98,645,Ministry of Textiles,Design and Technical Upgradation Scheme,49.73,0,49.73,0,0
Demand No. 98,646,Ministry of Textiles,Ambedkar Hasthshilp Vikas Yojana,34.28,0,34.28,0,0
Demand No. 98,647,Ministry of Textiles,Marketing Support and Services,38.18,0,38.18,0,0
Demand No. 98,648,Ministry of Textiles,Handicrafts Artisans comprehensive welfare scheme,13.2,0,13.2,0,0
Demand No. 98,649,Ministry of Textiles,Research and Development - Handicrafts,7.19,0,7.19,0,0
Demand No. 98,650,Ministry of Textiles,Human Resource Development- Handicrafts,19.75,0,19.75,0,0
Demand No. 98,651,Ministry of Textiles,Infrastructure and Technology Development Scheme,15.47,24.78,40.25,0,0
Demand No. 98,652,Ministry of Textiles,Handicraft Cluster Development Program - Handicraft Mega Cluster,11.66,0,11.66,20,40
Demand No. 98,653,Ministry of Textiles,Other Handicraft schemes,72.1,0,72.1,0,0
Demand No. 98,654,Ministry of Textiles,Integrated Wool Development Programme,6.25,0,6.25,15,27.11
Demand No. 98,655,Ministry of Textiles,Central Silk Board,854.08,0,854.08,875,917.77
Demand No. 98,656,Ministry of Textiles,Scheme for Development of Jute Sector,36,0,36,70,100
Demand No. 98,657,Ministry of Textiles,Subsidy to Jute Corporation of India towards market operation,49.29,0,49.29,45,42
Demand No. 98,658,Ministry of Textiles,"Others (IJIRA, COP JC)",1.65,0,1.65,0,0
Demand No. 98,659,Ministry of Textiles,Power Tex India,29.14,0.47,29.61,0,0
Demand No. 98,660,Ministry of Textiles,Comprehensive Powerloom Cluster Development Program - Powerloom Mega Cluster,6.8,0,6.8,0,0
Demand No. 98,661,Ministry of Textiles,Integrated Processing Development Scheme,41.26,0,41.26,70,60
Demand No. 98,662,Ministry of Textiles,Scheme for Integrated Textile Parks (SITP),55,0,55,0,0
Demand No. 98,663,Ministry of Textiles,Assistant to Textile Committee,25,0,25,25,0
Demand No. 98,664,Ministry of Textiles,Export Promotion Studies,1.73,0,1.73,0,0
Demand No. 98,665,Ministry of Textiles,Production Linked Incentive (PLI) Scheme for Textiles,0,0,0,15,5
Demand No. 98,666,Ministry of Textiles,"Others (TRAs, COP)",16.26,0,16.26,0,0
Demand No. 98,667,Ministry of Textiles,Integrated Scheme for Skill Development,59.76,0,59.76,100,115
Demand No. 98,668,Ministry of Textiles,R and D Textiles,6,0,6,10,0.02
Demand No. 98,669,Ministry of Textiles,National Institute of Fashion Technology (NIFT),90,0,90,120,0
Demand No. 98,670,Ministry of Textiles,Technology Mission on Technical Textile,85.69,0,85.69,0,0
Demand No. 98,671,Ministry of Textiles,National Technical Textiles Mission.,0,0,0,100,450
Demand No. 98,672,Ministry of Textiles,Textile Cluster Development Scheme,0,0,0,133.83,141.54
Demand No. 98,673,Ministry of Textiles,NER Textiles Promotion Scheme,13.6,0,13.6,0,0
Demand No. 98,674,Ministry of Textiles,Scheme for Usage of Geotextiles in North East,0,0,0,0,0
Demand No. 98,675,Ministry of Textiles,PM - MITRA,0,0,0,15,200
Demand No. 98,676,Ministry of Textiles,"Scheme for Protection of the Handlooms and Implementation of the Handlooms (Reservation of Articles for Production) Act, 1985",0,0,0,5,7
Demand No. 98,677,Ministry of Textiles,Raw Material Supply Scheme,0,0,0,105,160
Demand No. 99,678,Ministry of Tourism,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),261.36,0,261.36,1181.3,1412
Demand No. 99,679,Ministry of Tourism,Development of Iconic Tourist Destinations,0,0,0,130,0
Demand No. 99,680,Ministry of Tourism,"Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)",150,0,150,235,250
Demand No. 99,681,Ministry of Tourism,Other Support to Tourist Infrastructure,130.94,0,130.94,191.54,0
Demand No. 99,682,Ministry of Tourism,Loan Guarantee Scheme for the Covid affected Tourism Service Sector,0,0,0,12.5,1
Demand No. 99,683,Ministry of Tourism,Assistance to Central Agencies for Tourism Infrastructure Development,0,0,0,0,80
Demand No. 99,684,Ministry of Tourism,Champion Services Sector Scheme,0,0,0,0,196.22
Demand No. 99,685,Ministry of Tourism,Overseas Promotion and Publicity including Market Development Assistance,9.42,0,9.42,341,167
Demand No. 99,686,Ministry of Tourism,Domestic Promotion and Publicity including Market Development Assistance,40,0,40,75,75
Demand No. 99,687,Ministry of Tourism,Assistance to IHMS/FCIs/IITTM/NIWS,73.9,0,73.9,70,70
Demand No. 99,688,Ministry of Tourism,Capacity Building for Service Providers,21.22,0,21.22,34,35
Demand No. 100,689,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students,119.98,0,119.98,0,0
Demand No. 100,690,Ministry of Tribal Affairs,Scholarship to the ST Students for Studies Abroad,4.95,0,4.95,0,0
Demand No. 100,691,Ministry of Tribal Affairs,Institutional Support for Development and Marketing of Tribal Products (TRIFED etc.),113.06,0,113.06,0,0
Demand No. 100,692,Ministry of Tribal Affairs,Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes,89.43,0,89.43,0,0
Demand No. 100,693,Ministry of Tribal Affairs,Eklavya Model Residential School (EMRS),1057.74,0,1057.74,0,0
Demand No. 100,694,Ministry of Tribal Affairs,Marketing and Logistics Development for Promoting Tribal Products from North Eastern Region,36,0,36,0,0
Demand No. 100,695,Ministry of Tribal Affairs,Aid to Voluntary Organizations working for the welfare of Scheduled Tribes,0,0,0,110,0
Demand No. 100,696,Ministry of Tribal Affairs,Venture Capital Fund for Scheduled Tribes.,0,0,0,50,0
Demand No. 100,697,Ministry of Tribal Affairs,Pradhan Mantri Jan Jatiya Vikas Mission (PMJVM),0,0,0,499,0
Demand No. 100,698,Ministry of Tribal Affairs,"Tribal Research Information, Education, Communication and Events (TRI-ECE)",0,0,0,15,0
Demand No. 100,699,Ministry of Tribal Affairs,"Monitoring, Evaluation, Survey, Social Audit (MESSA)",0,0,0,15,0
Demand No. 100,700,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students.,0,0,0,145,0
Demand No. 100,701,Ministry of Tribal Affairs,National Overseas Scholarship Scheme,0,0,0,4,0
Demand No. 100,702,Ministry of Tribal Affairs,Marketing and Logistics Development for Promoting Tribal Products from North Eastern Region.,0,0,0,107.53,20
Demand No. 100,703,Ministry of Tribal Affairs,Eklavya Model Residential Schools (EMRS),0,0,0,2000,5943
Demand No. 100,704,Ministry of Tribal Affairs,National Tribal Welfare Program,0,0,0,0,655.49
Demand No. 102,705,Ministry of Youth Affairs and Sports,National Service Scheme,170.64,0,170.64,283.5,325
Demand No. 102,706,Ministry of Youth Affairs and Sports,National Young Leaders Programme,4.66,0,4.66,12,0
Demand No. 102,707,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,14.9,0,14.9,22,0
Demand No. 102,708,Ministry of Youth Affairs and Sports,National Youth Corps,51.45,0,51.45,75,0
Demand No. 102,709,Ministry of Youth Affairs and Sports,International Cooperation,8.89,0,8.89,20,0
Demand No. 102,710,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.38,0,0.38,1.5,0
Demand No. 102,711,Ministry of Youth Affairs and Sports,Youth Hostel,1.49,0.5,1.99,7.5,0
Demand No. 102,712,Ministry of Youth Affairs and Sports,Rashtriya Yuva Sashaktikaran Karyakaram,0,0,0,0,140.51
Demand No. 102,713,Ministry of Youth Affairs and Sports,Assistance to Promotion of Sports Excellence,112.89,0,112.89,284,0
Demand No. 102,714,Ministry of Youth Affairs and Sports,Incentive to Sports Persons,48.24,0,48.24,55,45
Demand No. 102,715,Ministry of Youth Affairs and Sports,National Sports Development Fund,5,0,5,16,15
Demand No. 102,716,Ministry of Youth Affairs and Sports,National Welfare Fund for Sports Persons,0,0,0,2,2
Demand No. 102,717,Ministry of Youth Affairs and Sports,Assistance to National Sports Federations,0,0,0,0,325
Demand No. 102,718,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,0,0,0,0,3
Demand No. 102,719,Ministry of Youth Affairs and Sports,National Centre of Sports Science & Research,0,0,0,0,13
Demand No. 102,720,Ministry of Youth Affairs and Sports,Khelo India,764.28,0,764.28,974,1000
Demand No. 102,721,Ministry of Youth Affairs and Sports,Enhancement of Sports Facility at J& K,15,0,15,50,15
Demand No. 102,722,Ministry of Youth Affairs and Sports,Commonwealth Games,59.67,0,59.67,30,30
